"","id","lighting","distance","side","rotation","trial","time","frame","filename","iCatcher_NonAnonymized","iCatcher_Anonymized","OWLET_NonAnonymized","OWLET_Anonymized"
"116","c01","Lr","D30","Sl24","Rr",8,2,33,"c01_Lr_D30_Sl24_Rr_08_2","Yes","Yes","Yes","Yes"
"117","c01","Lr","D30","Sl24","Rr",9,1,31,"c01_Lr_D30_Sl24_Rr_09_1","Yes","Yes","Yes","Yes"
"118","c01","Lr","D30","Sl24","Rr",9,2,31,"c01_Lr_D30_Sl24_Rr_09_2","Yes","Yes","Yes","Yes"
"119","c01","Lr","D30","Sl24","Rr",10,1,31,"c01_Lr_D30_Sl24_Rr_10_1","Yes","Yes","Yes","Yes"
"120","c01","Lr","D30","Sl24","Rr",10,2,32,"c01_Lr_D30_Sl24_Rr_10_2","Yes","Yes","Yes","Yes"
"121","c01","Lr","D30","Sr24","Rc",1,1,32,"c01_Lr_D30_Sr24_Rc_01_1","Yes","Yes","Yes","Yes"
"122","c01","Lr","D30","Sr24","Rc",1,2,31,"c01_Lr_D30_Sr24_Rc_01_2","Yes","Yes","Yes","Yes"
"123","c01","Lr","D30","Sr24","Rc",2,1,32,"c01_Lr_D30_Sr24_Rc_02_1","Yes","Yes","Yes","Yes"
"124","c01","Lr","D30","Sr24","Rc",2,2,32,"c01_Lr_D30_Sr24_Rc_02_2","Yes","Yes","Yes","Yes"
"125","c01","Lr","D30","Sr24","Rc",3,1,32,"c01_Lr_D30_Sr24_Rc_03_1","Yes","Yes","Yes","Yes"
"126","c01","Lr","D30","Sr24","Rc",3,2,31,"c01_Lr_D30_Sr24_Rc_03_2","Yes","Yes","Yes","Yes"
"127","c01","Lr","D30","Sr24","Rc",4,1,32,"c01_Lr_D30_Sr24_Rc_04_1","Yes","Yes","Yes","Yes"
"128","c01","Lr","D30","Sr24","Rc",4,2,33,"c01_Lr_D30_Sr24_Rc_04_2","Yes","Yes","Yes","Yes"
"129","c01","Lr","D30","Sr24","Rc",5,1,32,"c01_Lr_D30_Sr24_Rc_05_1","Yes","Yes","Yes","Yes"
"130","c01","Lr","D30","Sr24","Rc",5,2,33,"c01_Lr_D30_Sr24_Rc_05_2","Yes","Yes","Yes","Yes"
"131","c01","Lr","D30","Sr24","Rc",6,1,31,"c01_Lr_D30_Sr24_Rc_06_1","Yes","Yes","Yes","Yes"
"132","c01","Lr","D30","Sr24","Rc",6,2,32,"c01_Lr_D30_Sr24_Rc_06_2","Yes","Yes","Yes","Yes"
"133","c01","Lr","D30","Sr24","Rc",7,1,33,"c01_Lr_D30_Sr24_Rc_07_1","Yes","Yes","Yes","Yes"
"134","c01","Lr","D30","Sr24","Rc",7,2,31,"c01_Lr_D30_Sr24_Rc_07_2","Yes","Yes","Yes","Yes"
"135","c01","Lr","D30","Sr24","Rc",8,1,32,"c01_Lr_D30_Sr24_Rc_08_1","Yes","Yes","Yes","Yes"
"136","c01","Lr","D30","Sr24","Rc",8,2,31,"c01_Lr_D30_Sr24_Rc_08_2","Yes","Yes","Yes","Yes"
"137","c01","Lr","D30","Sr24","Rc",9,1,33,"c01_Lr_D30_Sr24_Rc_09_1","Yes","Yes","Yes","Yes"
"138","c01","Lr","D30","Sr24","Rc",9,2,31,"c01_Lr_D30_Sr24_Rc_09_2","Yes","Yes","Yes","Yes"
"139","c01","Lr","D30","Sr24","Rc",10,1,33,"c01_Lr_D30_Sr24_Rc_10_1","Yes","Yes","Yes","Yes"
"140","c01","Lr","D30","Sr24","Rc",10,2,31,"c01_Lr_D30_Sr24_Rc_10_2","Yes","Yes","Yes","Yes"
"141","c01","Lr","D30","Sr24","Rl",1,1,31,"c01_Lr_D30_Sr24_Rl_01_1","Yes","Yes","Yes","Yes"
"142","c01","Lr","D30","Sr24","Rl",1,2,31,"c01_Lr_D30_Sr24_Rl_01_2","Yes","Yes","Yes","Yes"
"143","c01","Lr","D30","Sr24","Rl",2,1,31,"c01_Lr_D30_Sr24_Rl_02_1","Yes","Yes","Yes","Yes"
"144","c01","Lr","D30","Sr24","Rl",2,2,31,"c01_Lr_D30_Sr24_Rl_02_2","Yes","Yes","Yes","Yes"
"145","c01","Lr","D30","Sr24","Rl",3,1,32,"c01_Lr_D30_Sr24_Rl_03_1","Yes","Yes","Yes","Yes"
"146","c01","Lr","D30","Sr24","Rl",3,2,33,"c01_Lr_D30_Sr24_Rl_03_2","Yes","Yes","Yes","Yes"
"147","c01","Lr","D30","Sr24","Rl",4,1,32,"c01_Lr_D30_Sr24_Rl_04_1","Yes","Yes","Yes","Yes"
"148","c01","Lr","D30","Sr24","Rl",4,2,33,"c01_Lr_D30_Sr24_Rl_04_2","Yes","Yes","Yes","Yes"
"149","c01","Lr","D30","Sr24","Rl",5,1,32,"c01_Lr_D30_Sr24_Rl_05_1","Yes","Yes","Yes","Yes"
"150","c01","Lr","D30","Sr24","Rl",5,2,32,"c01_Lr_D30_Sr24_Rl_05_2","Yes","Yes","Yes","Yes"
"151","c01","Lr","D30","Sr24","Rl",6,1,31,"c01_Lr_D30_Sr24_Rl_06_1","Yes","Yes","Yes","Yes"
"152","c01","Lr","D30","Sr24","Rl",6,2,32,"c01_Lr_D30_Sr24_Rl_06_2","Yes","Yes","Yes","Yes"
"153","c01","Lr","D30","Sr24","Rl",7,1,31,"c01_Lr_D30_Sr24_Rl_07_1","Yes","Yes","Yes","Yes"
"154","c01","Lr","D30","Sr24","Rl",7,2,31,"c01_Lr_D30_Sr24_Rl_07_2","Yes","Yes","Yes","Yes"
"155","c01","Lr","D30","Sr24","Rl",8,1,31,"c01_Lr_D30_Sr24_Rl_08_1","Yes","Yes","Yes","Yes"
"156","c01","Lr","D30","Sr24","Rl",8,2,31,"c01_Lr_D30_Sr24_Rl_08_2","Yes","Yes","Yes","Yes"
"157","c01","Lr","D30","Sr24","Rl",9,1,31,"c01_Lr_D30_Sr24_Rl_09_1","Yes","Yes","Yes","Yes"
"158","c01","Lr","D30","Sr24","Rl",9,2,31,"c01_Lr_D30_Sr24_Rl_09_2","Yes","Yes","Yes","Yes"
"159","c01","Lr","D30","Sr24","Rl",10,1,32,"c01_Lr_D30_Sr24_Rl_10_1","Yes","Yes","Yes","Yes"
"160","c01","Lr","D30","Sr24","Rl",10,2,33,"c01_Lr_D30_Sr24_Rl_10_2","Yes","Yes","Yes","Yes"
"161","c01","Lr","D30","Sr24","Rr",1,1,32,"c01_Lr_D30_Sr24_Rr_01_1","Yes","Yes","Yes","Yes"
"162","c01","Lr","D30","Sr24","Rr",1,2,31,"c01_Lr_D30_Sr24_Rr_01_2","Yes","Yes","Yes","Yes"
"163","c01","Lr","D30","Sr24","Rr",2,1,31,"c01_Lr_D30_Sr24_Rr_02_1","Yes","Yes","Yes","Yes"
"164","c01","Lr","D30","Sr24","Rr",2,2,32,"c01_Lr_D30_Sr24_Rr_02_2","Yes","Yes","Yes","Yes"
"165","c01","Lr","D30","Sr24","Rr",3,1,31,"c01_Lr_D30_Sr24_Rr_03_1","Yes","Yes","Yes","Yes"
"166","c01","Lr","D30","Sr24","Rr",3,2,32,"c01_Lr_D30_Sr24_Rr_03_2","Yes","Yes","Yes","Yes"
"167","c01","Lr","D30","Sr24","Rr",4,1,31,"c01_Lr_D30_Sr24_Rr_04_1","Yes","Yes","Yes","No"
"168","c01","Lr","D30","Sr24","Rr",4,2,32,"c01_Lr_D30_Sr24_Rr_04_2","Yes","Yes","Yes","Yes"
"169","c01","Lr","D30","Sr24","Rr",5,1,31,"c01_Lr_D30_Sr24_Rr_05_1","Yes","Yes","Yes","Yes"
"170","c01","Lr","D30","Sr24","Rr",5,2,32,"c01_Lr_D30_Sr24_Rr_05_2","Yes","Yes","Yes","Yes"
"171","c01","Lr","D30","Sr24","Rr",6,1,33,"c01_Lr_D30_Sr24_Rr_06_1","Yes","Yes","Yes","Yes"
"172","c01","Lr","D30","Sr24","Rr",6,2,31,"c01_Lr_D30_Sr24_Rr_06_2","Yes","Yes","Yes","Yes"
"173","c01","Lr","D30","Sr24","Rr",7,1,33,"c01_Lr_D30_Sr24_Rr_07_1","Yes","Yes","Yes","Yes"
"174","c01","Lr","D30","Sr24","Rr",7,2,31,"c01_Lr_D30_Sr24_Rr_07_2","Yes","Yes","Yes","Yes"
"175","c01","Lr","D30","Sr24","Rr",8,1,31,"c01_Lr_D30_Sr24_Rr_08_1","Yes","Yes","Yes","Yes"
"176","c01","Lr","D30","Sr24","Rr",8,2,32,"c01_Lr_D30_Sr24_Rr_08_2","Yes","Yes","Yes","Yes"
"177","c01","Lr","D30","Sr24","Rr",9,1,32,"c01_Lr_D30_Sr24_Rr_09_1","Yes","Yes","Yes","Yes"
"178","c01","Lr","D30","Sr24","Rr",9,2,32,"c01_Lr_D30_Sr24_Rr_09_2","Yes","Yes","Yes","Yes"
"179","c01","Lr","D30","Sr24","Rr",10,1,31,"c01_Lr_D30_Sr24_Rr_10_1","Yes","Yes","Yes","Yes"
"180","c01","Lr","D30","Sr24","Rr",10,2,32,"c01_Lr_D30_Sr24_Rr_10_2","Yes","Yes","Yes","Yes"
"181","c01","Lr","D60","Sc00","Rc",1,1,32,"c01_Lr_D60_Sc00_Rc_01_1","Yes","Yes","Yes","Yes"
"182","c01","Lr","D60","Sc00","Rc",1,2,32,"c01_Lr_D60_Sc00_Rc_01_2","Yes","Yes","Yes","Yes"
"183","c01","Lr","D60","Sc00","Rc",2,1,32,"c01_Lr_D60_Sc00_Rc_02_1","Yes","Yes","Yes","Yes"
"184","c01","Lr","D60","Sc00","Rc",2,2,33,"c01_Lr_D60_Sc00_Rc_02_2","Yes","Yes","Yes","Yes"
"185","c01","Lr","D60","Sc00","Rc",3,1,31,"c01_Lr_D60_Sc00_Rc_03_1","Yes","Yes","Yes","Yes"
"186","c01","Lr","D60","Sc00","Rc",3,2,32,"c01_Lr_D60_Sc00_Rc_03_2","Yes","Yes","Yes","Yes"
"187","c01","Lr","D60","Sc00","Rc",4,1,32,"c01_Lr_D60_Sc00_Rc_04_1","Yes","Yes","Yes","Yes"
"188","c01","Lr","D60","Sc00","Rc",4,2,33,"c01_Lr_D60_Sc00_Rc_04_2","Yes","Yes","Yes","Yes"
"189","c01","Lr","D60","Sc00","Rc",5,1,32,"c01_Lr_D60_Sc00_Rc_05_1","Yes","Yes","Yes","Yes"
"190","c01","Lr","D60","Sc00","Rc",5,2,32,"c01_Lr_D60_Sc00_Rc_05_2","Yes","Yes","Yes","Yes"
"191","c01","Lr","D60","Sc00","Rc",6,1,32,"c01_Lr_D60_Sc00_Rc_06_1","Yes","Yes","Yes","Yes"
"192","c01","Lr","D60","Sc00","Rc",6,2,33,"c01_Lr_D60_Sc00_Rc_06_2","Yes","Yes","Yes","Yes"
"193","c01","Lr","D60","Sc00","Rc",7,1,32,"c01_Lr_D60_Sc00_Rc_07_1","Yes","Yes","Yes","Yes"
"194","c01","Lr","D60","Sc00","Rc",7,2,32,"c01_Lr_D60_Sc00_Rc_07_2","Yes","Yes","Yes","Yes"
"195","c01","Lr","D60","Sc00","Rc",8,1,32,"c01_Lr_D60_Sc00_Rc_08_1","Yes","Yes","Yes","Yes"
"196","c01","Lr","D60","Sc00","Rc",8,2,32,"c01_Lr_D60_Sc00_Rc_08_2","Yes","Yes","Yes","Yes"
"197","c01","Lr","D60","Sc00","Rc",9,1,31,"c01_Lr_D60_Sc00_Rc_09_1","Yes","Yes","Yes","Yes"
"198","c01","Lr","D60","Sc00","Rc",9,2,31,"c01_Lr_D60_Sc00_Rc_09_2","Yes","Yes","Yes","Yes"
"199","c01","Lr","D60","Sc00","Rc",10,1,31,"c01_Lr_D60_Sc00_Rc_10_1","Yes","Yes","Yes","Yes"
