id,lighting,distance,side,rotation,trial,time,frame,annotation,confidence,filename
c01,Lr,D30,Sc00,Rl,8,1,31, left,0.78,c01_Lr_D30_Sc00_Rl_08_1.txt
c01,Lr,D30,Sc00,Rl,8,2,32, right,0.92,c01_Lr_D30_Sc00_Rl_08_2.txt
c01,Lr,D30,Sc00,Rl,9,1,32, left,0.96,c01_Lr_D30_Sc00_Rl_09_1.txt
c01,Lr,D30,Sc00,Rl,9,2,33, away,0.62,c01_Lr_D30_Sc00_Rl_09_2.txt
c01,Lr,D30,Sc00,Rl,10,1,31, left,0.97,c01_Lr_D30_Sc00_Rl_10_1.txt
c01,Lr,D30,Sc00,Rl,10,2,32, away,0.67,c01_Lr_D30_Sc00_Rl_10_2.txt
c01,Lr,D30,Sc00,Rr,1,1,32, away,0.71,c01_Lr_D30_Sc00_Rr_01_1.txt
c01,Lr,D30,Sc00,Rr,1,2,31, right,0.39,c01_Lr_D30_Sc00_Rr_01_2.txt
c01,Lr,D30,Sc00,Rr,2,1,32, away,0.52,c01_Lr_D30_Sc00_Rr_02_1.txt
c01,Lr,D30,Sc00,Rr,2,2,33, right,0.53,c01_Lr_D30_Sc00_Rr_02_2.txt
c01,Lr,D30,Sc00,Rr,3,1,32, right,0.86,c01_Lr_D30_Sc00_Rr_03_1.txt
c01,Lr,D30,Sc00,Rr,3,2,33, left,0.83,c01_Lr_D30_Sc00_Rr_03_2.txt
c01,Lr,D30,Sc00,Rr,4,1,32, away,0.67,c01_Lr_D30_Sc00_Rr_04_1.txt
c01,Lr,D30,Sc00,Rr,4,2,31, right,0.61,c01_Lr_D30_Sc00_Rr_04_2.txt
c01,Lr,D30,Sc00,Rr,5,1,32, away,0.5,c01_Lr_D30_Sc00_Rr_05_1.txt
c01,Lr,D30,Sc00,Rr,5,2,33, left,0.99,c01_Lr_D30_Sc00_Rr_05_2.txt
c01,Lr,D30,Sc00,Rr,6,1,32, away,0.96,c01_Lr_D30_Sc00_Rr_06_1.txt
c01,Lr,D30,Sc00,Rr,6,2,31, away,0.99,c01_Lr_D30_Sc00_Rr_06_2.txt
c01,Lr,D30,Sc00,Rr,7,1,31, away,1.0,c01_Lr_D30_Sc00_Rr_07_1.txt
c01,Lr,D30,Sc00,Rr,7,2,32, away,0.99,c01_Lr_D30_Sc00_Rr_07_2.txt
c01,Lr,D30,Sc00,Rr,8,1,32, away,0.99,c01_Lr_D30_Sc00_Rr_08_1.txt
c01,Lr,D30,Sc00,Rr,8,2,31, away,0.99,c01_Lr_D30_Sc00_Rr_08_2.txt
c01,Lr,D30,Sc00,Rr,9,1,33, away,0.98,c01_Lr_D30_Sc00_Rr_09_1.txt
c01,Lr,D30,Sc00,Rr,9,2,31, away,0.99,c01_Lr_D30_Sc00_Rr_09_2.txt
c01,Lr,D30,Sc00,Rr,10,1,32, away,0.93,c01_Lr_D30_Sc00_Rr_10_1.txt
c01,Lr,D30,Sc00,Rr,10,2,33, away,0.76,c01_Lr_D30_Sc00_Rr_10_2.txt
c01,Lr,D30,Sl24,Rc,1,1,32, away,0.92,c01_Lr_D30_Sl24_Rc_01_1.txt
c01,Lr,D30,Sl24,Rc,1,2,31, away,0.98,c01_Lr_D30_Sl24_Rc_01_2.txt
c01,Lr,D30,Sl24,Rc,2,1,33, right,0.98,c01_Lr_D30_Sl24_Rc_02_1.txt
c01,Lr,D30,Sl24,Rc,2,2,31, right,1.0,c01_Lr_D30_Sl24_Rc_02_2.txt
c01,Lr,D30,Sl24,Rc,3,1,30, right,0.99,c01_Lr_D30_Sl24_Rc_03_1.txt
c01,Lr,D30,Sl24,Rc,3,2,31, right,0.98,c01_Lr_D30_Sl24_Rc_03_2.txt
c01,Lr,D30,Sl24,Rc,4,1,33, right,0.81,c01_Lr_D30_Sl24_Rc_04_1.txt
c01,Lr,D30,Sl24,Rc,4,2,31, right,1.0,c01_Lr_D30_Sl24_Rc_04_2.txt
c01,Lr,D30,Sl24,Rc,5,1,32, right,0.99,c01_Lr_D30_Sl24_Rc_05_1.txt
c01,Lr,D30,Sl24,Rc,5,2,31, right,0.69,c01_Lr_D30_Sl24_Rc_05_2.txt
c01,Lr,D30,Sl24,Rc,6,1,33, right,0.91,c01_Lr_D30_Sl24_Rc_06_1.txt
c01,Lr,D30,Sl24,Rc,6,2,31, right,0.94,c01_Lr_D30_Sl24_Rc_06_2.txt
c01,Lr,D30,Sl24,Rc,7,1,33, away,0.86,c01_Lr_D30_Sl24_Rc_07_1.txt
c01,Lr,D30,Sl24,Rc,7,2,31, away,0.9,c01_Lr_D30_Sl24_Rc_07_2.txt
c01,Lr,D30,Sl24,Rc,8,1,32, away,0.74,c01_Lr_D30_Sl24_Rc_08_1.txt
c01,Lr,D30,Sl24,Rc,8,2,30, right,0.88,c01_Lr_D30_Sl24_Rc_08_2.txt
c01,Lr,D30,Sl24,Rc,9,1,32, away,0.59,c01_Lr_D30_Sl24_Rc_09_1.txt
c01,Lr,D30,Sl24,Rc,9,2,30, right,0.77,c01_Lr_D30_Sl24_Rc_09_2.txt
c01,Lr,D30,Sl24,Rc,10,1,32, away,0.96,c01_Lr_D30_Sl24_Rc_10_1.txt
c01,Lr,D30,Sl24,Rc,10,2,31, away,0.99,c01_Lr_D30_Sl24_Rc_10_2.txt
c01,Lr,D30,Sl24,Rl,1,1,33, away,0.99,c01_Lr_D30_Sl24_Rl_01_1.txt
c01,Lr,D30,Sl24,Rl,1,2,31, away,0.97,c01_Lr_D30_Sl24_Rl_01_2.txt
