id,lighting,distance,side,rotation,trial,time,frame,annotation,confidence,filename
c05,Lr,D30,Sc00,Rl,09,1,5, right, 0.69,c05_Lr_D30_Sc00_Rl_09_1.txt
c05,Lr,D30,Sc00,Rl,09,1,6, left, 0.48,c05_Lr_D30_Sc00_Rl_09_1.txt
c05,Lr,D30,Sc00,Rl,09,1,7, left, 0.42,c05_Lr_D30_Sc00_Rl_09_1.txt
c05,Lr,D30,Sc00,Rl,09,1,8, away, 0.53,c05_Lr_D30_Sc00_Rl_09_1.txt
c05,Lr,D30,Sc00,Rl,09,1,9, right, 0.48,c05_Lr_D30_Sc00_Rl_09_1.txt
c05,Lr,D30,Sc00,Rl,09,1,10, left, 0.56,c05_Lr_D30_Sc00_Rl_09_1.txt
c05,Lr,D30,Sc00,Rl,09,1,11, right, 0.37,c05_Lr_D30_Sc00_Rl_09_1.txt
c05,Lr,D30,Sc00,Rl,09,1,12, left, 0.58,c05_Lr_D30_Sc00_Rl_09_1.txt
c05,Lr,D30,Sc00,Rl,09,2,4, left, 0.65,c05_Lr_D30_Sc00_Rl_09_2.txt
c05,Lr,D30,Sc00,Rl,09,2,5, away, 0.36,c05_Lr_D30_Sc00_Rl_09_2.txt
c05,Lr,D30,Sc00,Rl,09,2,6, left, 0.83,c05_Lr_D30_Sc00_Rl_09_2.txt
c05,Lr,D30,Sc00,Rl,09,2,7, left, 0.63,c05_Lr_D30_Sc00_Rl_09_2.txt
c05,Lr,D30,Sc00,Rl,09,2,8, left, 0.84,c05_Lr_D30_Sc00_Rl_09_2.txt
c05,Lr,D30,Sc00,Rl,09,2,9, left, 0.57,c05_Lr_D30_Sc00_Rl_09_2.txt
c05,Lr,D30,Sc00,Rl,09,2,10, left, 0.67,c05_Lr_D30_Sc00_Rl_09_2.txt
c05,Lr,D30,Sc00,Rl,09,2,11, left, 0.54,c05_Lr_D30_Sc00_Rl_09_2.txt
c05,Lr,D30,Sc00,Rl,09,2,12, left, 0.85,c05_Lr_D30_Sc00_Rl_09_2.txt
c05,Lr,D30,Sc00,Rl,10,1,4, left, 0.91,c05_Lr_D30_Sc00_Rl_10_1.txt
c05,Lr,D30,Sc00,Rl,10,1,5, left, 0.55,c05_Lr_D30_Sc00_Rl_10_1.txt
c05,Lr,D30,Sc00,Rl,10,1,6, left, 0.86,c05_Lr_D30_Sc00_Rl_10_1.txt
c05,Lr,D30,Sc00,Rl,10,1,7, left, 0.50,c05_Lr_D30_Sc00_Rl_10_1.txt
c05,Lr,D30,Sc00,Rl,10,1,8, left, 0.92,c05_Lr_D30_Sc00_Rl_10_1.txt
c05,Lr,D30,Sc00,Rl,10,1,9, left, 0.68,c05_Lr_D30_Sc00_Rl_10_1.txt
c05,Lr,D30,Sc00,Rl,10,1,10, left, 0.93,c05_Lr_D30_Sc00_Rl_10_1.txt
c05,Lr,D30,Sc00,Rl,10,1,11, left, 0.84,c05_Lr_D30_Sc00_Rl_10_1.txt
c05,Lr,D30,Sc00,Rl,10,1,12, left, 0.94,c05_Lr_D30_Sc00_Rl_10_1.txt
c05,Lr,D30,Sc00,Rl,10,1,13, left, 0.91,c05_Lr_D30_Sc00_Rl_10_1.txt
c05,Lr,D30,Sc00,Rl,10,2,4, left, 0.55,c05_Lr_D30_Sc00_Rl_10_2.txt
c05,Lr,D30,Sc00,Rl,10,2,5, left, 0.51,c05_Lr_D30_Sc00_Rl_10_2.txt
c05,Lr,D30,Sc00,Rl,10,2,6, away, 0.61,c05_Lr_D30_Sc00_Rl_10_2.txt
c05,Lr,D30,Sc00,Rl,10,2,7, left, 0.53,c05_Lr_D30_Sc00_Rl_10_2.txt
c05,Lr,D30,Sc00,Rl,10,2,8, left, 0.67,c05_Lr_D30_Sc00_Rl_10_2.txt
c05,Lr,D30,Sc00,Rl,10,2,9, left, 0.59,c05_Lr_D30_Sc00_Rl_10_2.txt
c05,Lr,D30,Sc00,Rl,10,2,10, left, 0.49,c05_Lr_D30_Sc00_Rl_10_2.txt
c05,Lr,D30,Sc00,Rl,10,2,11, left, 0.66,c05_Lr_D30_Sc00_Rl_10_2.txt
c05,Lr,D30,Sc00,Rl,10,2,12, left, 0.77,c05_Lr_D30_Sc00_Rl_10_2.txt
c05,Lr,D30,Sc00,Rl,10,2,13, left, 0.79,c05_Lr_D30_Sc00_Rl_10_2.txt
c05,Lr,D30,Sc00,Rr,01,1,4, right, 0.71,c05_Lr_D30_Sc00_Rr_01_1.txt
c05,Lr,D30,Sc00,Rr,01,1,5, right, 0.79,c05_Lr_D30_Sc00_Rr_01_1.txt
c05,Lr,D30,Sc00,Rr,01,1,6, left, 0.59,c05_Lr_D30_Sc00_Rr_01_1.txt
c05,Lr,D30,Sc00,Rr,01,1,7, right, 0.71,c05_Lr_D30_Sc00_Rr_01_1.txt
c05,Lr,D30,Sc00,Rr,01,1,8, left, 0.54,c05_Lr_D30_Sc00_Rr_01_1.txt
c05,Lr,D30,Sc00,Rr,01,1,9, right, 0.93,c05_Lr_D30_Sc00_Rr_01_1.txt
c05,Lr,D30,Sc00,Rr,01,1,10, left, 0.74,c05_Lr_D30_Sc00_Rr_01_1.txt
c05,Lr,D30,Sc00,Rr,01,1,11, right, 0.86,c05_Lr_D30_Sc00_Rr_01_1.txt
c05,Lr,D30,Sc00,Rr,01,1,12, left, 0.68,c05_Lr_D30_Sc00_Rr_01_1.txt
c05,Lr,D30,Sc00,Rr,01,1,13, right, 0.72,c05_Lr_D30_Sc00_Rr_01_1.txt
c05,Lr,D30,Sc00,Rr,01,2,4, right, 0.93,c05_Lr_D30_Sc00_Rr_01_2.txt
c05,Lr,D30,Sc00,Rr,01,2,5, right, 0.83,c05_Lr_D30_Sc00_Rr_01_2.txt
c05,Lr,D30,Sc00,Rr,01,2,6, right, 0.91,c05_Lr_D30_Sc00_Rr_01_2.txt
