id,lighting,distance,side,rotation,trial,time,frame,annotation,confidence,filename
t08,Ll,D30,Sc00,Rc,02,2,11, right, 0.68,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,12, right, 0.54,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,13, right, 0.56,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,14, left, 0.55,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,15, left, 0.53,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,16, left, 0.63,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,17, left, 0.52,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,18, left, 0.58,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,19, right, 0.55,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,20, right, 0.51,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,21, right, 0.64,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,22, right, 0.58,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,23, right, 0.68,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,24, right, 0.65,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,25, right, 0.62,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,26, right, 0.61,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,02,2,27, left, 0.52,t08_Ll_D30_Sc00_Rc_02_2.txt
t08,Ll,D30,Sc00,Rc,03,1,4, right, 0.91,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,5, right, 0.92,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,6, right, 0.93,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,7, right, 0.92,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,8, right, 0.91,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,9, right, 0.88,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,10, right, 0.86,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,11, right, 0.82,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,12, right, 0.82,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,13, right, 0.77,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,14, right, 0.70,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,15, right, 0.67,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,16, right, 0.56,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,17, right, 0.62,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,18, right, 0.51,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,19, right, 0.68,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,20, right, 0.60,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,21, right, 0.73,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,22, right, 0.62,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,23, right, 0.75,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,24, right, 0.76,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,25, right, 0.79,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,26, right, 0.80,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,1,27, right, 0.78,t08_Ll_D30_Sc00_Rc_03_1.txt
t08,Ll,D30,Sc00,Rc,03,2,4, right, 0.99,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,5, right, 0.99,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,6, right, 0.99,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,7, right, 0.98,t08_Ll_D30_Sc00_Rc_03_2.txt
t08,Ll,D30,Sc00,Rc,03,2,8, right, 0.98,t08_Ll_D30_Sc00_Rc_03_2.txt
