id,lighting,distance,side,rotation,trial,time,frame,subject,time2,frame2,x,y,saccade,tag,new_Tag,filename,new_tag
t15,Lc,D90,Sr24,Rl,8,1.csv,31.0,t15_Lc_D90_Sr24_Rl_08_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rl_08_1.csv,away
t15,Lc,D90,Sr24,Rl,8,2.csv,31.0,t15_Lc_D90_Sr24_Rl_08_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rl_08_2.csv,away
t15,Lc,D90,Sr24,Rl,9,1.csv,33.0,t15_Lc_D90_Sr24_Rl_09_1,0.0,32.0,,,0,away,,t15_Lc_D90_Sr24_Rl_09_1.csv,away
t15,Lc,D90,Sr24,Rl,9,2.csv,32.0,t15_Lc_D90_Sr24_Rl_09_2,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rl_09_2.csv,away
t15,Lc,D90,Sr24,Rl,10,1.csv,32.0,t15_Lc_D90_Sr24_Rl_10_1,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rl_10_1.csv,away
t15,Lc,D90,Sr24,Rl,10,2.csv,31.0,t15_Lc_D90_Sr24_Rl_10_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rl_10_2.csv,away
t15,Lc,D90,Sr24,Rr,1,1.csv,31.0,t15_Lc_D90_Sr24_Rr_01_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rr_01_1.csv,away
t15,Lc,D90,Sr24,Rr,1,2.csv,31.0,t15_Lc_D90_Sr24_Rr_01_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rr_01_2.csv,away
t15,Lc,D90,Sr24,Rr,2,1.csv,31.0,t15_Lc_D90_Sr24_Rr_02_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rr_02_1.csv,away
t15,Lc,D90,Sr24,Rr,2,2.csv,31.0,t15_Lc_D90_Sr24_Rr_02_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rr_02_2.csv,away
t15,Lc,D90,Sr24,Rr,3,1.csv,31.0,t15_Lc_D90_Sr24_Rr_03_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rr_03_1.csv,away
t15,Lc,D90,Sr24,Rr,3,2.csv,31.0,t15_Lc_D90_Sr24_Rr_03_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rr_03_2.csv,away
t15,Lc,D90,Sr24,Rr,4,1.csv,32.0,t15_Lc_D90_Sr24_Rr_04_1,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rr_04_1.csv,away
t15,Lc,D90,Sr24,Rr,4,2.csv,32.0,t15_Lc_D90_Sr24_Rr_04_2,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rr_04_2.csv,away
t15,Lc,D90,Sr24,Rr,5,1.csv,31.0,t15_Lc_D90_Sr24_Rr_05_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rr_05_1.csv,away
t15,Lc,D90,Sr24,Rr,5,2.csv,31.0,t15_Lc_D90_Sr24_Rr_05_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rr_05_2.csv,away
t15,Lc,D90,Sr24,Rr,6,1.csv,32.0,t15_Lc_D90_Sr24_Rr_06_1,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rr_06_1.csv,away
t15,Lc,D90,Sr24,Rr,6,2.csv,32.0,t15_Lc_D90_Sr24_Rr_06_2,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rr_06_2.csv,away
t15,Lc,D90,Sr24,Rr,7,1.csv,32.0,t15_Lc_D90_Sr24_Rr_07_1,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rr_07_1.csv,away
t15,Lc,D90,Sr24,Rr,7,2.csv,32.0,t15_Lc_D90_Sr24_Rr_07_2,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rr_07_2.csv,away
t15,Lc,D90,Sr24,Rr,8,1.csv,31.0,t15_Lc_D90_Sr24_Rr_08_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rr_08_1.csv,away
t15,Lc,D90,Sr24,Rr,8,2.csv,31.0,t15_Lc_D90_Sr24_Rr_08_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rr_08_2.csv,away
t15,Lc,D90,Sr24,Rr,9,1.csv,32.0,t15_Lc_D90_Sr24_Rr_09_1,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rr_09_1.csv,away
t15,Lc,D90,Sr24,Rr,9,2.csv,32.0,t15_Lc_D90_Sr24_Rr_09_2,0.0,31.0,,,0,away,,t15_Lc_D90_Sr24_Rr_09_2.csv,away
t15,Lc,D90,Sr24,Rr,10,1.csv,31.0,t15_Lc_D90_Sr24_Rr_10_1,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rr_10_1.csv,away
t15,Lc,D90,Sr24,Rr,10,2.csv,31.0,t15_Lc_D90_Sr24_Rr_10_2,0.0,30.0,,,0,away,,t15_Lc_D90_Sr24_Rr_10_2.csv,away
t16,Lr,D30,Sc00,Rc,1,1.csv,31.0,t16_Lr_D30_Sc00_Rc_01_1,0.0,30.0,,,0,away,,t16_Lr_D30_Sc00_Rc_01_1.csv,away
t16,Lr,D30,Sc00,Rc,1,2.csv,31.0,t16_Lr_D30_Sc00_Rc_01_2,0.0,30.0,,,0,away,,t16_Lr_D30_Sc00_Rc_01_2.csv,away
t16,Lr,D30,Sc00,Rc,2,1.csv,31.0,t16_Lr_D30_Sc00_Rc_02_1,0.0,30.0,,,0,away,,t16_Lr_D30_Sc00_Rc_02_1.csv,away
t16,Lr,D30,Sc00,Rc,2,2.csv,32.0,t16_Lr_D30_Sc00_Rc_02_2,0.0,31.0,,,0,away,,t16_Lr_D30_Sc00_Rc_02_2.csv,away
t16,Lr,D30,Sc00,Rc,3,1.csv,32.0,t16_Lr_D30_Sc00_Rc_03_1,0.0,31.0,,,0,away,,t16_Lr_D30_Sc00_Rc_03_1.csv,away
